IDc	Lat	Long	NbArticles	IdClustDBScan	IdClustCham	isFusion
2256	48.0447280	11.5057640	1	8	8	No
2257	48.0599120	11.6796790	1	8	8	No
2258	48.0615500	11.6632100	1	8	8	No
2259	48.0639250	7.3347510	1	0	0	No
2260	48.0640540	11.6652120	2	8	8	No
2261	48.0662000	8.4460100	1	0	0	No
2262	48.0672360	-0.7632220	1	0	0	No
2263	48.0745020	11.2483110	10	8	8	No
2264	48.0747030	11.6714620	1	8	8	No
2265	48.0748600	11.8890300	1	8	8	No
2266	48.0808210	11.2860460	1	8	8	No
2267	48.0851070	11.2864400	2	8	8	No
2268	48.0851230	11.2771140	1	8	8	No
2269	48.0877530	5.1445580	1	0	0	No
2270	48.0891260	-1.6184550	2	0	0	No
2271	48.0916220	11.6492010	47	8	8	No
2272	48.0959400	11.5127400	1	8	8	No
2273	48.0966920	11.5286650	2	8	8	No
2274	48.1005200	11.5341100	1	8	8	No
2275	48.1010970	-1.7953840	1	0	0	No
2276	48.1017130	11.4238440	2	8	8	No
2277	48.1030420	-1.4019200	2	0	0	No
2278	48.1050300	11.4595790	4	8	8	No
2279	48.1109330	11.5990230	1	8	8	No
2280	48.1110260	11.4711850	1	8	8	No
2281	48.1127190	11.5663060	1	8	8	No
2282	48.1127240	-1.6641030	1	0	0	No
2283	48.1130000	11.5384900	18	8	8	No
2284	48.1131090	11.5388060	8	8	8	No
2285	48.1143830	11.4634720	3	8	8	No
2286	48.1145900	-1.7067530	1	0	0	No
2287	48.1151800	-1.7113280	1	0	0	No
2288	48.1156900	-1.6732300	2	0	0	No
2289	48.1159650	-1.5840140	1	0	0	No
2290	48.1159880	-1.6719200	3	0	0	No
2291	48.1172660	-1.6777930	12	0	0	No
2292	48.1175070	-1.7000520	2	0	0	No
2293	48.1179480	11.6022700	3	8	8	No
2294	48.1182730	11.5432190	3	8	8	No
2295	48.1194720	-1.6029230	2	0	0	No
2296	48.1208980	-1.6285590	2	0	0	No
2297	48.1213210	-1.6316670	2	0	0	No
2298	48.1254500	11.6005300	1	8	8	No
2299	48.1273480	-1.6246070	4	0	0	No
2300	48.1286440	-1.6255160	2	0	0	No
2301	48.1300820	-1.6740490	1	0	0	No
2302	48.1301910	-1.6350070	1	0	0	No
2303	48.1303140	11.5593440	1	8	8	No
2304	48.1315800	11.6143660	1	8	8	No
2305	48.1316600	11.5222000	1	8	8	No
2306	48.1317590	11.6189840	1	8	8	No
2307	48.1319200	11.5301600	2	8	8	No
2308	48.1320080	-1.6230930	1	0	0	No
2309	48.1329850	11.5209590	1	8	8	No
2310	48.1340200	11.5837500	1	8	8	No
2311	48.1351250	11.5819810	81	8	8	No
2312	48.1352010	11.5605820	3	8	8	No
2313	48.1354900	11.6082300	1	8	8	No
2314	48.1360040	11.5997830	1	8	8	No
2315	48.1366100	11.6697200	1	8	8	No
2316	48.1367490	11.5796540	1	8	8	No
2317	48.1373750	11.5538780	2	8	8	No
2318	48.1378310	11.6002360	1	8	8	No
2319	48.1382900	11.6475800	1	8	8	No
2320	48.1407740	11.6486880	1	8	8	No
2321	48.1411800	11.5818600	1	8	8	No
2322	48.1431280	11.5647330	1	8	8	No
2323	48.1436500	11.5758270	3	8	8	No
2324	48.1440990	11.5695520	2	8	8	No
2325	48.1444450	11.6832190	1	8	8	No
2326	48.1445110	11.4903050	1	8	8	No
2327	48.1471680	16.3636210	1	0	0	No
2328	48.1479920	11.5734960	1	8	8	No
2329	48.1488110	11.5514350	1	8	8	No
2330	48.1491280	11.5794140	2	8	8	No
2331	48.1493510	11.5678260	17	8	8	No
2332	48.1494310	11.5708300	1	8	8	No
2333	48.1500500	11.5784890	2	8	8	No
2334	48.1501260	11.5468340	1	8	8	No
2335	48.1504850	11.6210450	11	8	8	No
2336	48.1506900	11.5803600	8	8	8	No
2337	48.1508910	11.7256420	1	8	8	No
2338	48.1513000	9.1008100	1	0	0	No
2339	48.1533600	11.4769900	6	8	8	No
2340	48.1534900	11.5101800	1	8	8	No
2341	48.1535610	-1.6831460	2	0	0	No
2342	48.1538000	9.4917900	1	0	0	No
2343	48.1564500	11.6332200	1	8	8	No
2344	48.1568300	11.5579300	1	8	8	No
2345	48.1574300	11.5446900	1	8	8	No
2346	48.1579100	11.5532600	2	8	8	No
2347	48.1582900	11.5464500	1	8	8	No
2348	48.1602050	11.5460290	1	8	8	No
2349	48.1602480	7.7929530	1	0	0	No
2350	48.1610800	11.5041800	1	8	8	No
2351	48.1669600	11.6243000	1	8	8	No
2352	48.1670500	11.2307600	1	8	8	No
2353	48.1673100	11.6004600	2	8	8	No
2354	48.1690700	11.8205700	1	8	8	No
2355	48.1692700	11.4954800	1	8	8	No
2356	48.1694590	11.5977560	1	8	8	No
2357	48.1701100	16.3328550	2	0	0	No
2358	48.1747500	11.5861100	1	8	8	No
2359	48.1759180	11.5348350	2	8	8	No
2360	48.1769000	11.5613400	6	8	8	No
2361	48.1769000	12.8404500	1	0	0	No
2362	48.1789220	11.5293840	4	8	8	No
2363	48.1791500	11.5327200	2	8	8	No
2364	48.1847260	11.5842020	2	8	8	No
2365	48.1861300	11.5878700	2	8	8	No
2366	48.1894080	16.3653320	1	0	0	No
2367	48.1901310	16.3532520	1	0	0	No
2368	48.1918840	16.3710630	1	0	0	No
2369	48.1921170	16.3692700	1	0	0	No
2370	48.1934050	11.4700490	1	8	8	No
2371	48.1941130	16.3953560	1	0	0	No
2372	48.1942260	11.5706880	1	8	8	No
2373	48.1945220	16.3730290	1	0	0	No
2374	48.1981200	16.3689960	4	0	0	No
2375	48.1991690	6.4312290	1	0	0	No
2376	48.2002210	16.3631220	1	0	0	No
2377	48.2081740	16.3738190	2	0	0	No
2378	48.2085130	16.3783560	2	0	0	No
2379	48.2109860	16.3863930	1	0	0	No
2380	48.2125700	16.3636500	1	0	0	No
2381	48.2127280	11.4673040	1	8	8	No
2382	48.2134470	16.3584150	1	0	0	No
2383	48.2135350	11.4813350	6	8	8	No
2384	48.2138930	11.4762930	3	8	8	No
2385	48.2184910	16.3891080	1	0	0	No
2386	48.2211700	11.5939700	27	8	8	No
2387	48.2217480	16.3557030	2	0	0	No
2388	48.2248960	16.3569650	4	0	0	No
2389	48.2253380	16.3861850	1	0	0	No
2390	48.2292730	16.3589470	1	0	0	No
2391	48.2311790	9.8725700	1	0	0	No
2392	48.2333300	13.0157400	2	0	0	No
2393	48.2403280	6.9644050	1	0	0	No
2394	48.2469610	16.3675830	1	0	0	No
2395	48.2484800	16.3556300	1	0	0	No
2396	48.2488720	11.6532480	6	0	0	No
2397	48.2513310	-3.3186230	1	0	0	No
2398	48.2515650	11.3968250	1	0	0	No
2399	48.2522460	11.5590620	5	0	0	No
2400	48.2648980	11.6732210	2	0	0	No
2401	48.2684880	16.4098270	3	0	0	No
2402	48.2789900	11.5578600	1	0	0	No
2403	48.3043000	11.6171900	1	0	0	No
2404	48.3069400	11.6226200	1	0	0	No
2405	48.3328270	10.8979500	1	0	0	No
2406	48.3363920	14.3225400	1	0	0	No
2407	48.3366140	14.3193050	3	0	0	No
2408	48.3375600	14.3219230	2	0	0	No
2409	48.3669370	14.5172740	1	0	0	No
2410	48.3708900	10.9341100	2	0	0	No
2411	48.3710180	2.8258340	1	0	0	No
2412	48.3814380	-4.6204040	16	0	0	No
2413	48.3903940	-4.4860760	3	0	0	No
2414	48.3908550	9.9741180	2	0	0	No
2415	48.3983060	11.7197440	1	0	0	No
2416	48.3986630	11.7274550	1	0	0	No
2417	48.4010820	9.9876080	7	0	0	No
2418	48.4022710	2.6872180	1	0	0	No
2419	48.4028800	11.7411850	3	0	0	No
2420	48.4032730	2.6937180	1	0	0	No
2421	48.4037410	2.6943210	1	0	0	No
2422	48.4046760	2.7016200	3	0	0	No
2423	48.4046790	-4.5061000	4	0	0	No
2424	48.4158760	2.7071920	1	0	0	No
2425	48.4214300	9.9416800	3	0	0	No
2426	48.4224740	9.9470050	1	0	0	No
2427	48.4230250	9.9514530	1	0	0	No
2428	48.4239700	2.7393190	1	0	0	No
2429	48.4250400	9.9633300	1	0	0	No
2430	48.4251830	9.9456740	2	0	0	No
2431	48.4254100	9.9617400	1	0	0	No
2432	48.4255200	9.9478500	2	0	0	No
2433	48.4257000	9.9596100	1	0	0	No
2434	48.4258200	9.9634400	1	0	0	No
2435	48.4673290	7.9370060	1	0	0	No
2436	48.4851500	9.2271950	1	0	0	No
2437	48.4855600	9.2279100	1	0	0	No
2438	48.4887810	-2.7943730	1	0	0	No
2439	48.4940800	9.1340400	1	0	0	No
2440	48.4962320	9.1913830	4	0	0	No
2441	48.4968960	9.3948750	1	0	0	No
2442	48.5003100	9.1858120	1	0	0	No
2443	48.5069390	9.2038040	2	0	0	No
2444	48.5172000	9.0727200	1	0	0	No
2445	48.5207100	7.7311780	1	0	0	No
2446	48.5231460	7.7369290	3	0	0	No
2447	48.5235820	9.0590300	2	0	0	No
2448	48.5236200	9.0456000	1	0	0	No
2449	48.5237460	7.7381290	1	0	0	No
2450	48.5244920	9.0593650	4	0	0	No
2451	48.5265620	9.0618300	1	0	0	No
2452	48.5272610	9.0624750	2	0	0	No
2453	48.5277020	7.7099700	1	0	0	No
2454	48.5285400	7.7110110	4	0	0	No
2455	48.5298460	-2.7620740	1	0	0	No
2456	48.5362020	9.0362170	3	0	0	No
2457	48.5365360	9.0354830	1	0	0	No
2458	48.5379900	9.0372000	1	0	0	No
2459	48.5381950	9.0343070	1	0	0	No
2460	48.5546110	3.0135350	1	0	0	No
2461	48.5668630	13.4511950	1	0	0	No
2462	48.5675500	2.2927190	1	9	9	No
2463	48.5734050	7.7521110	6	0	0	No
2464	48.5789810	7.7651230	1	0	0	No
2465	48.5793350	7.7640550	3	0	0	No
2466	48.5807070	7.7669640	2	0	0	No
2467	48.5831800	12.1969600	1	0	0	No
2468	48.5832080	7.7653490	2	0	0	No
2469	48.5833870	7.7645980	1	0	0	No
2470	48.5839280	7.7627060	2	0	0	No
2471	48.5844150	7.7667980	3	0	0	No
2472	48.5905090	7.7530670	1	0	0	No
2473	48.5933880	2.1924990	1	9	9	No
2474	48.6021300	13.4199500	1	0	0	No
2475	48.6095640	2.1692510	1	9	9	No
2476	48.6114860	2.3060400	3	9	9	No
2477	48.6261810	2.4302360	2	9	9	No
2478	48.6264390	2.4303560	1	9	9	No
2479	48.6284200	2.4287300	1	9	9	No
2480	48.6291550	2.2451370	1	9	9	No
2481	48.6298280	2.4417820	7	9	9	No
2482	48.6321580	2.6175160	1	9	9	No
2483	48.6371200	9.3357400	1	10	10	No
2484	48.6424460	2.2298810	1	9	9	No
2485	48.6438680	1.8290790	1	9	9	No
2486	48.6445950	2.2315190	14	9	9	No
2487	48.6454340	7.4077830	1	0	0	No
2488	48.6471030	9.4519640	1	10	10	No
