IDb	Year	Latitude	Longitude
4797	0	50.86386	4.69594
4798	0	48.18613	11.58787
4798	0	40.447361	-3.738431
4798	0	51.430492	-0.427685
4798	0	50.85034	4.35171
4798	0	52.437018	13.547051
4798	0	50.865155	4.678824
4798	0	43.272885	-2.971306
4798	0	47.999008	7.842104
4798	0	50.86386	4.69594
4799	0	52.221537	6.893662
4799	0	40.522512	23.028077
4800	0	41.106042	16.804288
4800	0	52.011577	4.357068
4800	0	52.780835	4.676354
4800	0	51.884301	4.617892
4800	0	52.766289	-1.23771
4801	0	48.113	11.53849
4801	0	38.665845	-9.194595
4802	0	48.113	11.53849
4802	0	37.982407	23.707056
4802	0	42.070514	13.911516
4803	0	48.775846	9.182932
4803	0	49.490146	0.126552
4803	0	37.988023	23.732303
4804	0	48.113	11.53849
4804	0	37.510735	15.068551
4804	0	56.090023	10.133735
4805	0	48.113	11.53849
4805	0	52.011395	-8.344027
4806	0	51.481845	7.216236
4806	0	51.472975	7.004099
4806	0	52.27846	10.53998
4806	0	37.988023	23.732303
4806	0	48.876212	2.174242
4807	0	40.478743	-3.684291
4807	0	28.070533	-15.45222
4807	0	48.113	11.53849
4807	0	37.976591	23.764991
4807	0	37.982407	23.707056
4808	0	51.515534	-0.1981
4808	0	50.551063	4.711484
4809	0	48.113	11.53849
4809	0	40.447361	-3.738431
4809	0	43.687065	5.707942
4809	0	51.346836	-0.902591
4810	0	40.478743	-3.684291
4810	0	49.234643	6.976525
4810	0	28.112987	-15.42206
4810	0	48.113109	11.538806
4810	0	37.976591	23.764991
4811	0	51.455643	7.011555
4811	0	50.77936	6.075589
4811	0	50.864739	6.066852
4812	0	47.976677	7.829362
4812	0	51.929412	4.472561
4812	0	52.780835	4.676354
4812	0	63.980287	28.674904
4812	0	47.999008	7.842104
4812	0	51.312509	9.477886
4813	0	48.113	11.53849
4813	0	45.43317	11
4814	0	40.447361	-3.738431
4814	0	38.665845	-9.194595
4814	0	48.113109	11.538806
4815	0	59.339783	17.939713
4815	0	53.51789	8.11843
